# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg]
#energia, pressao, rho, mu
9439.9418064348,4948.9197901282,4.13,3483.985858732
9405.1274318018,4927.89374558,4.12,3478.8886352868
9370.3640425415,4906.9078813555,4.11,3473.7887892694
9335.6516648661,4885.9622064533,4.1,3468.6863100779
9300.9903251918,4865.0567299406,4.09,3463.5811870739
9266.3800500072,4844.1914609103,4.08,3458.4734095386
9231.8208659331,4823.3664085008,4.07,3453.3629666914
9197.3127996529,4802.5815818731,4.06,3448.2498476665
9162.8558779731,4781.8369902307,4.05,3443.1340415318
9128.4501278381,4761.1326428242,4.04,3438.0155372927
9094.0955763008,4740.468548942,4.03,3432.8943238816
9059.7922505001,4719.8447179029,4.02,3427.77039015
9025.540177655,4699.2611590539,4.01,3422.6437248651
8991.3393851878,4678.7178818111,4,3417.5143167497
8957.1899005701,4658.2148956087,3.99,3412.3821544308
8923.0917513735,4637.7522099159,3.98,3407.2472264546
8889.0449653495,4617.3298342632,3.97,3402.109521313
8855.0495702909,4596.9477781967,3.96,3396.9690273959
8821.1055941962,4576.6060513325,3.95,3391.8257330453
8787.2130650687,4556.3046632902,3.94,3386.679626487
8753.3720111169,4536.043623759,3.93,3381.5306958972
8719.582460638,4515.8229424597,3.92,3376.3789293617
8685.8444420645,4495.6426291595,3.91,3371.2243148911
8652.1579839457,4475.5026936665,3.9,3366.0668404134
8618.5231149011,4455.4031458138,3.89,3360.906493757
8584.9398637261,4435.343995495,3.88,3355.7432626859
8551.4082593601,4415.3252526528,3.87,3350.5771348871
8517.928330785,4395.3469272468,3.86,3345.4080979357
8484.5001071926,4375.4090293073,3.85,3340.2361393506
8451.1236178402,4355.5115688887,3.84,3335.061246544
8417.7988921476,4335.6545561014,3.83,3329.8834068535
8384.525959631,4315.8380010897,3.82,3324.7026075185
8351.3048499422,4296.0619140447,3.81,3319.5188356921
8318.1355929029,4276.3263052159,3.8,3314.3320784523
8285.0182184236,4256.6311848844,3.79,3309.1423227726
8251.9527565527,4236.9765633792,3.78,3303.9495555375
8218.9392374525,4217.3624510691,3.77,3298.7537635336
8185.9776914635,4197.788858384,3.76,3293.5549334701
8153.0681490205,4178.2557957873,3.75,3288.3530519488
8120.2106406911,4158.7632737885,3.74,3283.1481054758
8087.4051972443,4139.3113029661,3.73,3277.9400804854
8054.6518494682,4119.8998939071,3.72,3272.7289632729
8021.950628384,4100.5290572782,3.71,3267.5147400707
7989.3015651119,4081.1988037807,3.7,3262.297396998
7956.704690959,4061.9091441805,3.69,3257.076920092
7924.1600372902,4042.6600892647,3.68,3251.8532952595
7891.6676356551,4023.4516498842,3.67,3246.6265083213
7859.2275177509,4004.283836941,3.66,3241.3965449978
7826.8397154523,3985.1566613979,3.65,3236.1633909179
7794.5042606922,3966.07013424,3.64,3230.9270315748
7762.2211856114,3947.0242665233,3.63,3225.6874523787
7729.9905224934,3928.0190693534,3.62,3220.4446386317
7697.8123037333,3909.0545538758,3.61,3215.198575515
7665.6865619286,3890.1307313049,3.6,3209.9492481204
7633.6133297759,3871.247612891,3.59,3204.6966414114
7601.5926401475,3852.4052099446,3.58,3199.4407402492
7569.624526072,3833.603533831,3.57,3194.1815293846
7537.7090207076,3814.8425959606,3.56,3188.9189934461
7505.8461573984,3796.122407808,3.55,3183.6531169596
7474.0359696184,3777.4429808938,3.54,3178.3838843255
7442.278491007,3758.8043267957,3.53,3173.1112798308
7410.5737553706,3740.2064571493,3.52,3167.8352876477
7378.9217966804,3721.6493836476,3.51,3162.5558918313
7347.3226490119,3703.133118021,3.5,3157.2730762951
7315.7763466809,3684.6576720819,3.49,3151.9868248604
7284.2829240911,3666.223057675,3.48,3146.6971211972
7252.8424158849,3647.8292867264,3.47,3141.4039488793
7221.4548568016,3629.4763711973,3.46,3136.1072913292
7190.1202818009,3611.1643231247,3.45,3130.8071318625
7158.8387259763,3592.8931545929,3.44,3125.5034536538
7127.6102245882,3574.6628777442,3.43,3120.1962397471
7096.4348130937,3556.4735047889,3.42,3114.8854730651
7065.3125271019,3538.3250479908,3.41,3109.5711363908
7034.2434023839,3520.2175196704,3.4,3104.2532123689
7003.2274749385,3502.1509322259,3.39,3098.9316835293
6972.264780876,3484.1252980965,3.38,3093.6065322404
6941.3553565005,3466.1406297879,3.37,3088.2777407384
6910.4992383189,3448.1969398763,3.36,3082.9452911295
6879.6964630079,3430.294240997,3.35,3077.6091653746
6848.9470674107,3412.432545844,3.34,3072.2693452858
6818.2510885509,3394.611867174,3.33,3066.92581253
6787.6085636788,3376.8322178218,3.32,3061.5785486448
6757.0195301609,3359.0936106643,3.31,3056.2275349925
6726.4840256137,3341.3960586641,3.3,3050.8727528115
6696.0020878179,3323.7395748416,3.29,3045.5141831792
6665.573754723,3306.1241722765,3.28,3040.151807012
6635.1990645042,3288.5498641265,3.27,3034.7856050858
6604.8780555131,3271.0166636112,3.26,3029.4155580136
6574.6107662987,3253.524584019,3.25,3024.0416462516
6544.3972356188,3236.0736387106,3.24,3018.6638501017
6514.2375023877,3218.6638411025,3.23,3013.2821496874
6484.1316057904,3201.295204704,3.22,3007.8965249983
6454.0795851346,3183.9677430688,3.21,3002.5069558266
6424.0814799689,3166.6814698339,3.2,2997.1134218134
6394.1373300793,3149.4363987184,3.19,2991.7159024444
6364.2471753657,3132.2325434832,3.18,2986.3143769965
6334.4110560404,3115.0699179959,3.17,2980.9088246171
6304.629012458,3097.9485361751,3.16,2975.499224251
