# densidade, pressao, nb, mu
2.12743441500073E+016, 1.29132795645768E+037, 3.3210000000019E+040, 0.0003888371
2.11778532569386E+016, 1.2847855417793E+037, 3.31200000000871E+040, 0.0003879183
2.10815599239274E+016, 1.27825901943517E+037, 3.30300000000204E+040, 0.0003869994
2.09854642075134E+016, 1.27174839117305E+037, 3.29399999999357E+040, 0.0003860803
2.08895661645216E+016, 1.26525365874961E+037, 3.28500000000266E+040, 0.0003851609
2.07938658518689E+016, 1.25877482392464E+037, 3.27600000000629E+040, 0.0003842414
2.06983633267993E+016, 1.25231188846807E+037, 3.26699999999886E+040, 0.0003833217
2.06030586469328E+016, 1.24586485416137E+037, 3.25800000000418E+040, 0.0003824017
2.05079518699868E+016, 1.23943372278933E+037, 3.24900000000354E+040, 0.0003814816
2.04130430540443E+016, 1.23301849614803E+037, 3.24000000000418E+040, 0.0003805613
2.03183322573937E+016, 1.22661917604005E+037, 3.23099999999741E+040, 0.0003796407
2.02238195387155E+016, 1.22023576428002E+037, 3.22200000000625E+040, 0.00037872
2.01295049567576E+016, 1.21386826268507E+037, 3.21300000000146E+040, 0.000377799
2.00353885707402E+016, 1.20751667308669E+037, 3.20400000000498E+040, 0.0003768779
1.9941470440009E+016, 1.20118099732061E+037, 3.1950000000004E+040, 0.0003759565
1.98477506243025E+016, 1.19486123723462E+037, 3.1860000000011E+040, 0.0003750349
1.97542291835501E+016, 1.18855739468265E+037, 3.17699999999769E+040, 0.0003741131
1.96609061780257E+016, 1.18226947152927E+037, 3.16799999999723E+040, 0.0003731911
1.95677816682635E+016, 1.17599746964727E+037, 3.15900000000077E+040, 0.0003722689
1.94748557150386E+016, 1.16974139091702E+037, 3.14999999999789E+040, 0.0003713465
1.93821283794868E+016, 1.16350123723008E+037, 3.14099999999705E+040, 0.0003704238
1.92895997230017E+016, 1.15727701048612E+037, 3.13199999999849E+040, 0.000369501
1.91972698072588E+016, 1.15106871259364E+037, 3.12299999999985E+040, 0.0003685779
1.9105138694234E+016, 1.14487634547054E+037, 3.11400000000031E+040, 0.0003676546
1.90132064462008E+016, 1.13869991104404E+037, 3.10499999999941E+040, 0.0003667311
1.89214731257515E+016, 1.13253941125129E+037, 3.09600000000194E+040, 0.0003658073
1.88299387957277E+016, 1.12639484803734E+037, 3.08699999999913E+040, 0.0003648833
1.87386035193383E+016, 1.12026622335864E+037, 3.07799999999894E+040, 0.0003639591
1.86474673600613E+016, 1.11415353918011E+037, 3.06899999999984E+040, 0.0003630347
1.85565303816625E+016, 1.10805679747572E+037, 3.05999999999488E+040, 0.0003621101
1.84657926483083E+016, 1.10197600023183E+037, 3.05100000000074E+040, 0.0003611852
1.83752542243474E+016, 1.09591114944075E+037, 3.04199999999999E+040, 0.0003602601
1.82849151745547E+016, 1.08986224710792E+037, 3.03300000000411E+040, 0.0003593347
1.81947755639273E+016, 1.08382929524592E+037, 3.02399999999961E+040, 0.0003584092
1.81048354578981E+016, 1.07781229588078E+037, 3.01500000000318E+040, 0.0003574833
1.80150949221065E+016, 1.07181125104519E+037, 3.0060000000011E+040, 0.0003565573
