# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg],,epsilon[erg/cm^3],rho,n_b,mu
energia, pressao, rho, mu,,,,,
8618.5231149011,4455.4031458138,3.89,3360.906493757,,7.1383E+036,7.9420812257888E+015,3.89E+039,0.0053847681
8584.9398637261,4435.343995495,3.88,3355.7432626859,,7.1062E+036,7.90632432659508E+015,3.88E+039,0.0053764957
8551.4082593601,4415.3252526528,3.87,3350.5771348871,,7.0741E+036,7.87063945667701E+015,3.87E+039,0.0053682186
8517.928330785,4395.3469272468,3.86,3345.4080979357,,7.0421E+036,7.8350266337883E+015,3.86E+039,0.0053599369
8484.5001071926,4375.4090293073,3.85,3340.2361393506,,7.0102E+036,7.79948587580868E+015,3.85E+039,0.0053516505
8451.1236178402,4355.5115688887,3.84,3335.061246544,,6.9783E+036,7.76401720066086E+015,3.84E+039,0.0053433594
8417.7988921476,4335.6545561014,3.83,3329.8834068535,,6.9465E+036,7.72862062636737E+015,3.83E+039,0.0053350636
8384.525959631,4315.8380010897,3.82,3324.7026075185,,6.9147E+036,7.69329617101115E+015,3.82E+039,0.005326763
8351.3048499422,4296.0619140447,3.81,3319.5188356921,,6.8831E+036,7.6580438527586E+015,3.81E+039,0.0053184577
8318.1355929029,4276.3263052159,3.8,3314.3320784523,,6.8514E+036,7.62286368988019E+015,3.8E+039,0.0053101476
8285.0182184236,4256.6311848844,3.79,3309.1423227726,,6.8199E+036,7.58775570070273E+015,3.79E+039,0.0053018327
8251.9527565527,4236.9765633792,3.78,3303.9495555375,,6.7884E+036,7.55271990363841E+015,3.78E+039,0.005293513
8218.9392374525,4217.3624510691,3.77,3298.7537635336,,6.7570E+036,7.51775631717039E+015,3.77E+039,0.0052851884
8185.9776914635,4197.788858384,3.76,3293.5549334701,,6.7256E+036,7.48286495989072E+015,3.76E+039,0.005276859
8153.0681490205,4178.2557957873,3.75,3288.3530519488,,6.6943E+036,7.44804585045117E+015,3.75E+039,0.0052685246
