# epsilon [erg/cm^3], pressure [erg/cm^3], baryonic_density [1/cm^3], chem_potential[erg]
9.742154e+39, 9.741972e+39, 1.628141e+42, 1.196710e-02
9.582122e+39, 9.581939e+39, 1.608040e+42, 1.191765e-02
9.422755e+39, 9.422573e+39, 1.587940e+42, 1.186779e-02
9.264059e+39, 9.263877e+39, 1.567839e+42, 1.181750e-02
9.106040e+39, 9.105858e+39, 1.547739e+42, 1.176678e-02
8.948704e+39, 8.948521e+39, 1.527638e+42, 1.171562e-02
8.792056e+39, 8.791873e+39, 1.507538e+42, 1.166401e-02
8.636103e+39, 8.635920e+39, 1.487437e+42, 1.161193e-02
8.480850e+39, 8.480668e+39, 1.467337e+42, 1.155939e-02
8.326305e+39, 8.326123e+39, 1.447236e+42, 1.150637e-02
8.172474e+39, 8.172292e+39, 1.427136e+42, 1.145285e-02
8.019364e+39, 8.019181e+39, 1.407035e+42, 1.139882e-02
7.866981e+39, 7.866798e+39, 1.386935e+42, 1.134428e-02
7.715332e+39, 7.715149e+39, 1.366834e+42, 1.128921e-02
7.564425e+39, 7.564242e+39, 1.346734e+42, 1.123360e-02
7.414266e+39, 7.414084e+39, 1.326633e+42, 1.117743e-02
7.264864e+39, 7.264682e+39, 1.306533e+42, 1.112069e-02
7.116227e+39, 7.116044e+39, 1.286432e+42, 1.106337e-02
6.968361e+39, 6.968179e+39, 1.266332e+42, 1.100544e-02
6.821276e+39, 6.821094e+39, 1.246231e+42, 1.094690e-02
6.674980e+39, 6.674797e+39, 1.226131e+42, 1.088773e-02
6.529481e+39, 6.529298e+39, 1.206030e+42, 1.082790e-02
6.384788e+39, 6.384605e+39, 1.185930e+42, 1.076741e-02
6.240910e+39, 6.240727e+39, 1.165829e+42, 1.070623e-02
6.097857e+39, 6.097674e+39, 1.145729e+42, 1.064435e-02
5.955638e+39, 5.955455e+39, 1.125628e+42, 1.058173e-02
5.814263e+39, 5.814080e+39, 1.105528e+42, 1.051836e-02
5.673742e+39, 5.673559e+39, 1.085427e+42, 1.045423e-02
5.534086e+39, 5.533903e+39, 1.065327e+42, 1.038929e-02
5.395306e+39, 5.395123e+39, 1.045226e+42, 1.032354e-02
5.257412e+39, 5.257230e+39, 1.025126e+42, 1.025693e-02
5.120417e+39, 5.120234e+39, 1.005025e+42, 1.018945e-02
4.984332e+39, 4.984150e+39, 9.849246e+41, 1.012106e-02
4.849170e+39, 4.848987e+39, 9.648241e+41, 1.005174e-02
4.714943e+39, 4.714761e+39, 9.447236e+41, 9.981442e-03
4.581665e+39, 4.581482e+39, 9.246231e+41, 9.910143e-03
4.449349e+39, 4.449167e+39, 9.045226e+41, 9.837804e-03
4.318010e+39, 4.317828e+39, 8.844221e+41, 9.764385e-03
4.187662e+39, 4.187480e+39, 8.643216e+41, 9.689845e-03
4.058321e+39, 4.058138e+39, 8.442211e+41, 9.614140e-03
3.930002e+39, 3.929820e+39, 8.241206e+41, 9.537223e-03
3.802723e+39, 3.802540e+39, 8.040201e+41, 9.459046e-03
3.676499e+39, 3.676317e+39, 7.839196e+41, 9.379554e-03
3.551351e+39, 3.551168e+39, 7.638191e+41, 9.298692e-03
3.427295e+39, 3.427112e+39, 7.437186e+41, 9.216398e-03
3.304352e+39, 3.304169e+39, 7.236181e+41, 9.132608e-03
3.182542e+39, 3.182359e+39, 7.035176e+41, 9.047252e-03
3.061887e+39, 3.061704e+39, 6.834171e+41, 8.960254e-03
2.942409e+39, 2.942226e+39, 6.633166e+41, 8.871532e-03
2.824132e+39, 2.823949e+39, 6.432161e+41, 8.781000e-03
2.707080e+39, 2.706898e+39, 6.231156e+41, 8.688562e-03
2.591281e+39, 2.591099e+39, 6.030151e+41, 8.594113e-03
2.476762e+39, 2.476579e+39, 5.829146e+41, 8.497542e-03
2.363551e+39, 2.363369e+39, 5.628141e+41, 8.398725e-03
2.251681e+39, 2.251498e+39, 5.427136e+41, 8.297525e-03
2.141184e+39, 2.141001e+39, 5.226131e+41, 8.193795e-03
2.032094e+39, 2.031911e+39, 5.025126e+41, 8.087370e-03
1.924449e+39, 1.924267e+39, 4.824121e+41, 7.978068e-03
1.818290e+39, 1.818107e+39, 4.623116e+41, 7.865686e-03
1.713659e+39, 1.713476e+39, 4.422111e+41, 7.749997e-03
1.610601e+39, 1.610418e+39, 4.221106e+41, 7.630748e-03
1.509167e+39, 1.508984e+39, 4.020101e+41, 7.507650e-03
1.409409e+39, 1.409227e+39, 3.819095e+41, 7.380377e-03
1.311388e+39, 1.311205e+39, 3.618090e+41, 7.248556e-03
1.215166e+39, 1.214983e+39, 3.417085e+41, 7.111758e-03
1.120812e+39, 1.120630e+39, 3.216080e+41, 6.969484e-03
1.028406e+39, 1.028223e+39, 3.015075e+41, 6.821152e-03
9.380311e+38, 9.378485e+38, 2.814070e+41, 6.666072e-03
8.497843e+38, 8.496017e+38, 2.613065e+41, 6.503420e-03
7.637734e+38, 7.635907e+38, 2.412060e+41, 6.332197e-03
6.801209e+38, 6.799383e+38, 2.211055e+41, 6.151177e-03
5.989682e+38, 5.987856e+38, 2.010050e+41, 5.958825e-03
5.204797e+38, 5.202971e+38, 1.809045e+41, 5.753183e-03
4.448498e+38, 4.446671e+38, 1.608040e+41, 5.531683e-03
3.723130e+38, 3.721303e+38, 1.407035e+41, 5.290865e-03
3.031587e+38, 3.029761e+38, 1.206030e+41, 5.025868e-03
2.377558e+38, 2.375731e+38, 1.005025e+41, 4.729523e-03
1.765938e+38, 1.764112e+38, 8.040201e+40, 4.390500e-03
1.203637e+38, 1.201811e+38, 6.030151e+40, 3.989034e-03
7.013639e+37, 6.995375e+37, 4.020101e+40, 3.484742e-03
2.788873e+37, 2.770608e+37, 2.010050e+40, 2.765842e-03
9.132411e+34, -9.132411e+34, 1.000000e+24, 0.000000e+00
